technology,technology_comment
ALK,
ALK,
PEM,
PEM,
ALK,
PEM,
ALK,
PEM,
PEM,
PEM,
ALK,
PEM,
PEM,
PEM,
PEM,
PEM,
PEM,
PEM,
PEM,
PEM,
PEM,
ALK,
PEM,
PEM,
ALK,
PEM,
ALK,
PEM,
PEM,
ALK,
ALK,
PEM,
PEM,
PEM,
PEM,
PEM,
PEM,
PEM,
PEM,
ALK,
PEM,
PEM,
ALK,
PEM,
PEM,
ALK,
ALK,
PEM,
PEM,
PEM,
PEM,
PEM,
PEM,
ALK,
PEM,
PEM,
PEM,
ALK,
PEM,
PEM,
PEM,
PEM,
PEM,
PEM,
PEM,
PEM,
PEM,
PEM,
PEM,
PEM,
PEM,
PEM,
PEM,
ALK,
ALK,
ALK,
ALK,
PEM,
PEM,
PEM,
PEM,
PEM,
PEM,
ALK,
ALK,
PEM,
ALK,
ALK,
ALK,
PEM,
ALK,
PEM,
PEM,
ALK,
PEM,
PEM,
ALK,
PEM,
PEM,
PEM,
ALK,
ALK,
ALK,
ALK,
PEM,
ALK,
ALK,
ALK,
ALK,
PEM,
ALK,
ALK,
ALK,
PEM,
ALK,
PEM,
ALK,
ALK,
ALK,
ALK,
PEM,
PEM,
PEM,
ALK,
PEM,
PEM,
PEM,
PEM,
ALK,
ALK,
PEM,
ALK,
ALK,
ALK,
ALK,
PEM,
ALK,
ALK,
ALK,
ALK,
ALK,
ALK,
ALK,
ALK,
ALK,
PEM,
PEM,
ALK,
ALK,
ALK,
ALK,
PEM,
PEM,
PEM,
PEM,
PEM,
ALK,
ALK,
PEM,
ALK,
ALK,
ALK,
PEM,
PEM,
ALK,
ALK,
ALK,
PEM,
ALK,
PEM,
ALK,
ALK,
ALK,
ALK,
PEM,
PEM,
ALK,
ALK,
PEM,
PEM,
PEM,
PEM,
PEM,
PEM,
ALK,
PEM,
ALK,
ALK,
ALK,
ALK,
PEM,
PEM,
PEM,
ALK,
ALK,
ALK,
ALK,
PEM,
ALK,
PEM,
ALK,
ALK,
PEM,
PEM,
PEM,
PEM,
PEM,
ALK,
PEM,
ALK,
PEM,
ALK,
ALK,
PEM,
ALK,
ALK,
ALK,
PEM,
ALK,
ALK,
ALK,
PEM,
PEM,
PEM,
ALK,
PEM,
PEM,
PEM,
PEM,
PEM,
PEM,
ALK,
ALK,
PEM,
PEM,
PEM,
PEM,
PEM,
PEM,
ALK,
ALK,
ALK,
ALK,
ALK,
ALK,
PEM,
PEM,
ALK,
PEM,
PEM,
PEM,
PEM,
ALK,
ALK,
PEM,
PEM,
PEM,
ALK,
PEM,
PEM,
PEM,
PEM,Unknown PtX
PEM,
PEM,
ALK,
PEM,
PEM,
ALK,Unknown PtX
PEM,
PEM,
PEM,
ALK,
PEM,
ALK,
PEM,
PEM,
ALK,
PEM,
PEM,
PEM,
PEM,
PEM,
PEM,
PEM,
PEM,
PEM,
ALK,
ALK,
ALK,
ALK,
ALK,
ALK,
ALK,
PEM,
PEM,
ALK,
ALK,
PEM,
PEM,
PEM,
PEM,
ALK,
PEM,
PEM,
ALK,
ALK,
PEM,
PEM,
ALK,
PEM,
PEM,
PEM,
ALK,
ALK,
PEM,
ALK,
PEM,
PEM,
PEM,
PEM,
PEM,
PEM,
PEM,
PEM,
PEM,
PEM,
PEM,
PEM,
PEM,
PEM,
ALK,
PEM,
PEM,
PEM,
PEM,
PEM,
ALK,
ALK,
PEM,
PEM,
PEM,
PEM,
PEM,
ALK,
ALK,
PEM,
ALK,
ALK,
ALK,
PEM,
PEM,
ALK,
PEM,
ALK,
PEM,
PEM,
PEM,
ALK,
PEM,
PEM,
ALK,
PEM,
ALK,
ALK,
PEM,
PEM,
PEM,
PEM,
PEM,
PEM,
PEM,
PEM,
PEM,
PEM,
PEM,
PEM,
PEM,
PEM,
PEM,
ALK,
ALK,
PEM,
ALK,
ALK,
PEM,
ALK,
PEM,
PEM,
PEM,
PEM,
PEM,
PEM,
ALK,
ALK,
ALK,
