project_id,project_name,announced_capacity,normalised_capacity_in_megawatt_electrolyser,normalised_capacity_in_normal_cubit_meter_hydrogen_per_hour,normalised_capacity_in_kilo_tones_hydrogen_per_year,normalised_capacity_in_tones_CO2_captured_per_year,IEA_zero_carbon_estimated_normalized_capacity_nm3_H2_per_hour
1,Solar PV Plant port of Sines - phase I,10MW,10,2222,1.7,,2222
2,Solar PV Plant port of Sines - phase II,1GW,990,220000,171.5,,220000
3,H2GO - 1st phase,2.5MW,2.5,556,0.4,,556
4,H2GO - 2nd phase,26MW,23.5,5222,4.1,,5222
5,"NortH2, phase 1",1GW,1000,222222,173.3,,222222
6,Norsk e-Fuel Phase 1,10 million litres of synthetic kerosene per year,22,5700,4.4,,5700
7,Norsk e-Fuel Phase 2,100 million litres of synthetic kerosene per year,220,57000,44.4,,57000
8,HYBRIT pilot,4.5MW,4.5,978,0.8,,978
9,HYBRIT demo,1 Mt iron/y,339.3,73752,57.5,,
10,Fertiberia/Iberdrola - Puertollano I,20 MW,20,4444,3.5,,4444
11,Power to Green H2 Mallorca - Phase 1,0.33kt H2/y,1.904725258,423,0.3,,423
12,Power to Green H2 Mallorca (GREEN HYSLAND) - Phase 2,7.5 MW,7.5,1667,1.3,,1667
13,Drax Humber cluster completion,,,,,,
14,CRI project in Norway,100000 t MeOH/y,110,24540,19,,24540
15,ARIES project,1.25 MW,1.25,240,0.2,,240
16,Fukushima Hydrogen Energy Research Field,10 MW,10,1923,1.5,,1923
17,Hydrospider - St Gallen,2 MW,2,385,0.3,,385
18,"Apex Energy, Rostock-Laage",2 MW,2,435,0.3,,435
19,Leuchtturmprojekt Power-to-Gas Baden-Württemberg,1.3 MW,1.3,250,0.2,,250
20,eFarm (5 production sites in North Frisia),1.125 MW,1.125,216,0.2,,216
22,Hydrogen plant - Orkney Islands - BIG HIT 2n phase,1 MW,1,192,0.1,,192
23,Wyhlen hydroelectric power plant,1 MW,1,217,0.2,,217
24,GrInHy2.0,0.72 MW - 200 m3 H2/h,0.72,200,0.2,,200
25,Power2Met,0.25 MW - 50 m3 H2/h,0.25,50,0,,50
26,REMOTE - Norway,50 kW,0.05,10,0,,10
27,H2One - Toranomon Hills Business Tower,1 m3/h,0.0052,1,0,,1
28,H2One - Toyama City Environment Center,1 m3/h,0.0052,1,0,,1
29,H2One - Tsuruga City,1 m3/h,0.0052,1,0,,1
30,H2FUTURE,6 MW,6,1154,0.9,,1154
31,Guangdong Synergy Hydrogen Power Technology Co. 1st phase,4 MW,4,769,0.6,,769
33,"Markham Energy Storage, Ontario",2.5 MW,2.5,481,0.4,,481
34,PFI - Pirmasens-Winzeln,2.5 MW,2.5,556,0.4,,556
35,HRS CMB,1 MW,1,192,0.1,,192
36,MEFCO2,1 MW - 200m3 H2/h - 1t MeOH/d,1,200,0.2,,200
37,"Windgas Haurup, 2nd phase",1 MW,1,192,0.1,,192
38,Parnu refuelling station,1 MW - 200m3 H2/h,1,200,0.2,,200
39,"H2Nodes, Parnu",185 m3 H2/h,0.962,185,0.1,,185
40,"H2Nodes, Riga",140 m3 H2/h,0.728,140,0.1,,140
41,SMT-AG Artois-Gohelle,0.5 MW,0.5,109,0.1,,109
42,HyDeploy,0.5 MW,0.5,96,0.1,,96
43,Quebec Great Toronto Area East,0.5 MW - 100m3 H2/h,0.5,100,0.1,,100
44,Pau bus station HRS,0.5 MW,0.5,96,0.1,,96
46,"Solothurn, STORE&GO",0.35 MW,0.35,67,0.1,,67
49,Sarawak Energy,60 m3/h,0.276,60,0,,60
50,Vårgårda Bostäder housing complex,60 m3/h,0.276,60,0,,60
51,SoCalGas-NREL,0.25 MW,0.25,56,0,,56
52,Stromlückenfüller 2nd phase,0.2 MW,0.2,38,0,,38
54,ATCO clean energy innovation hub,0.15MW,0.15,29,0,,29
55,Tauron CO2-SNG,18 m3/h,0.081,18,0,,18
56,Methane Synthesis test facility in Koshijihara Plant of INPEX’s - Nagaoa,,,,,,
58,VTT Bio economy+,0.025MW,0.025,5,0,,5
59,Kopernikus,0.01 MW - 10m3 H2/h,0.01,1,0,,1
60,Rozenburg Power2Gas Phase 2,0.007 MW,0.007,1,0,,1
61,Balance project,0.006MW,0.006,2,0,,2
62,H2One - SP Group,1 m3 H2/h,0.0052,1,0,,1
63,Falkenhagen STORE&GO,1 MW - 180 m3 H2/h,1,180,0.1,,180
64,"NEDO kofu city, Yamanashi Prefecture",1.5 MW,1.5,288,0.2,,288
65,Semakau island microgrid Engie (SPORE),50 kW,0.05,,0,,0
66,H2PLAZA - Toyota Industries Corporation’s Takahama,10 nm³ H₂/h,0.045,10,0,,10
67,Localhy,,,,,,
