project_id,project_name,technology,technology_comment,type_of_electricity_for_electrolysis,type_of_renewables
1,Solar PV Plant port of Sines - phase I,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind
2,Solar PV Plant port of Sines - phase II,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind
3,H2GO - 1st phase,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various
4,H2GO - 2nd phase,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various
5,"NortH2, phase 1",Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind
6,Norsk e-Fuel Phase 1,SOEC,,Dedicated renewable,Others/Various
7,Norsk e-Fuel Phase 2,SOEC,,Dedicated renewable,Others/Various
8,HYBRIT pilot,ALK,,Grid (excess renewable),
9,HYBRIT demo,ALK,,Grid (excess renewable),
10,Fertiberia/Iberdrola - Puertollano I,PEM,,Dedicated renewable,Solar PV
11,Power to Green H2 Mallorca - Phase 1,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV
12,Power to Green H2 Mallorca (GREEN HYSLAND) - Phase 2,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV
13,Drax Humber cluster completion,NG w CCUS,ATR+CCS,,
14,CRI project in Norway,Other Electrolysis,Unknown PtX,Other/unknown,
15,ARIES project,PEM,,Other/unknown,
16,Fukushima Hydrogen Energy Research Field,ALK,,Dedicated renewable,Solar PV
17,Hydrospider - St Gallen,PEM,,Dedicated renewable,Hydropower
18,"Apex Energy, Rostock-Laage",ALK,,Grid (excess renewable),
19,Leuchtturmprojekt Power-to-Gas Baden-Württemberg,PEM,,Dedicated renewable,Hydropower
20,eFarm (5 production sites in North Frisia),PEM,,Dedicated renewable,Onshore wind
22,Hydrogen plant - Orkney Islands - BIG HIT 2n phase,PEM,,Dedicated renewable,Onshore wind
23,Wyhlen hydroelectric power plant,ALK,,Dedicated renewable,Hydropower
24,GrInHy2.0,SOEC,,Grid (excess renewable),
25,Power2Met,Other Electrolysis,Unknown PtX,Grid (excess renewable),
26,REMOTE - Norway,PEM,,Dedicated renewable,Others/Various
27,H2One - Toranomon Hills Business Tower,PEM,,Grid,
28,H2One - Toyama City Environment Center,PEM,,Grid,
29,H2One - Tsuruga City,PEM,,Grid,
30,H2FUTURE,PEM,,Grid (excess renewable),
31,Guangdong Synergy Hydrogen Power Technology Co. 1st phase,PEM,,Dedicated renewable,Unknown
33,"Markham Energy Storage, Ontario",PEM,,Grid (excess renewable),
34,PFI - Pirmasens-Winzeln,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various
35,HRS CMB,PEM,,Other/unknown,
36,MEFCO2,PEM,,Grid (excess renewable),
37,"Windgas Haurup, 2nd phase",PEM,,Dedicated renewable,Onshore wind
38,Parnu refuelling station,ALK,,Other/unknown,
39,"H2Nodes, Parnu",PEM,,Other/unknown,
40,"H2Nodes, Riga",PEM,,Other/unknown,
41,SMT-AG Artois-Gohelle,ALK,,Grid,
42,HyDeploy,PEM,,Grid,
43,Quebec Great Toronto Area East,ALK,,Other/unknown,
44,Pau bus station HRS,PEM,,Grid (excess renewable),
46,"Solothurn, STORE&GO",PEM,,Grid (excess renewable),
49,Sarawak Energy,ALK,,Other/unknown,
50,Vårgårda Bostäder housing complex,ALK,,Dedicated renewable,Solar PV
51,SoCalGas-NREL,Other Electrolysis,Unknown PtX,Other/unknown,
52,Stromlückenfüller 2nd phase,PEM,,Grid (excess renewable),
54,ATCO clean energy innovation hub,PEM,,Grid (excess renewable),
55,Tauron CO2-SNG,Other Electrolysis,Unknown PtX,Grid (excess renewable),
56,Methane Synthesis test facility in Koshijihara Plant of INPEX’s - Nagaoa,Other Electrolysis,Unknown PtX,Other/Unknown,
58,VTT Bio economy+,PEM,,Other/unknown,
59,Kopernikus,SOEC,,Other/unknown,
60,Rozenburg Power2Gas Phase 2,PEM,,Grid (excess renewable),
61,Balance project,SOEC,,Other/unknown,
62,H2One - SP Group,PEM,,Other/unknown,
63,Falkenhagen STORE&GO,PEM,,Grid (excess renewable),
64,"NEDO kofu city, Yamanashi Prefecture",PEM,,Other/unknown,
65,Semakau island microgrid Engie (SPORE),Other Electrolysis,Unknown PtX,Other/Unknown,
66,H2PLAZA - Toyota Industries Corporation’s Takahama,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown
67,Localhy,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown
68,Wind to gas Brunsbüttel,PEM,,Dedicated renewable,Onshore wind
69,Carbon2Chem,ALK,,Grid (excess renewable),
70,SunLine Transit Agency,PEM,,Other/unknown,
71,HyBALANCE,PEM,,Dedicated renewable,Onshore wind
72,Aberdeen Conference Center,ALK,,Other/unknown,
73,Lam Takhong Wind Hydrogen Hybrid Project- EGAT,PEM,,Other/unknown,
74,H2ORIZON,PEM,,Other/unknown,
75,ASKO Midt-Norge,ALK,,Other/unknown,
76,Underground Sun Storage,ALK,,Dedicated renewable,Solar PV
77,Hydrogen plant - Orkney Islands - BIG HIT 1st phase,PEM,,Dedicated renewable,Onshore wind
80,"Windgas Haurup, 1st phase",PEM,,Dedicated renewable,Onshore wind
82,"Troia, STORE&GO",PEM,,Grid (excess renewable),
83,GNVert H2,PEM,,Other/unknown,
85,Tongji solar hybrid hydrogen refueling station,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV
87,Methanation at Eichhof,PEM,,Other/unknown,
88,"CoSin: Synthetic Natural Gas from Sewage, Barcelona",SOEC,,Other/unknown,
89,REFLEX,SOEC,,Other/unknown,
90,Sendai City,PEM,,Other/unknown,
92,"Rostock, Exytron Demonstrationsanlage",ALK,,Grid (excess renewable),
93,Tokyu Construction Institute of Technology,PEM,,Other/unknown,
94,Rakuten Seimei Park Miyagi,PEM,,Other/unknown,
95,"MicroPyros, Altenstant",Other Electrolysis,Unknown PtX,Other/unknown,
96,Oxelösund Forklifts,PEM,,Other/unknown,
97,H21 North of England,NG w CCUS,ATR+CCS,,
98,Drax Humber cluster demonstrators,NG w CCUS,ATR+CCS,,
111,"Hynet Northwest, phase 1 (Essar Stanlow refinery)",NG w CCUS,ATR+CCS,,
113,"Baicheng, Jilin wind-solar project",Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various
115,"Alzey, Exytron Null-E",ALK,,Other/unknown,
119,Energy observer,PEM,,Other/unknown,
120,Haldor Topsoe - El-Opgraderet Biogas II,SOEC,,Other/unknown,
121,Musashi-Mizonokuchi Station,PEM,,Other/unknown,
122,"H2One - Hydrogen Application Center, Fuchu Complex",PEM,,Other/unknown,
123,H2One - Asahi Breweries in Ibaraki,PEM,,Other/unknown,
124,Costa Rica Transportation Ecosystem Project,PEM,,Dedicated renewable,Others/Various
125,Cerro Pabellón Microgrid 450 kWh Hydrogen ESS,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV
126,"Energy in the Container, Fraunhofer IISB, Erlangen, Leistungszentren Elektroniksysteme (LZE)",PEM,,Other/unknown,
127,Hassfurt,PEM,,Grid (excess renewable),
130,GreenHydroChem Central German Chemical Triangle,PEM,,Other/unknown,
134,HPEM2GAS (R&D),PEM,,Other/unknown,
135,Hamburg - Schnackenburgallee,PEM,,Grid (excess renewable),
136,smart grid solar - arzberg,PEM,,Dedicated renewable,Solar PV
137,"Naval Facilities Engineering Command, Engineering and Expeditionary Warfare Center",SOEC,,Other/unknown,
138,Laboratory System at IFE Kjeller Pahse 2,PEM,,Other/unknown,
139,"H2One - Kyushu Resort Hotel, Huis Ten Bosch",PEM,,Grid,
140,H2One - Yokohama Cargo Center,PEM,,Grid,
142,WindGas Hamburg-Reitbrook,PEM,,Dedicated renewable,Onshore wind
143,"RH2 Grapzow, Mecklenburg Vorpommern",ALK,,Dedicated renewable,Onshore wind
146,P2G-Biocat - Continued (Ref 508),ALK,,Other/unknown,
147,Raglan Nickel mine,ALK,,Other/unknown,
148,Don Quichote,ALK,,Dedicated renewable,Onshore wind
149,Regio Energie Solothurn/Aarmat hybrid plant,PEM,,Other/unknown,
151,RWE PtG plant Ibbenbüren,PEM,,Grid (excess renewable),
155,DemoSNG,PEM,,Other/unknown,
163,Stromlückenfüller 1st phase,PEM,,Grid (excess renewable),
164,Higashi-Ogishima-Naga-Park,PEM,,Dedicated renewable,Solar PV
165,Emden II Upscaling,PEM,,Other/unknown,
167,SYNFUEL,SOEC,,Other/unknown,
169,"Hydrogen Valley South Tyrol - Bolzano, CHIC",ALK,,Other/unknown,
173,H2BER (Berlin airport),ALK,,Dedicated renewable,Onshore wind
178,"Westkuste 100 (Phase 1) - HyScale 100, Heide",Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind
198,"Hanau, Wolfgang Industrial Park",PEM,,Other/unknown,
199,"MicroPyros, Staubing",Other Electrolysis,,Other/unknown,
200,"ETOGAS, Solar Fuel Beta-plant AUDI, Werlte (Audi e-gas)",ALK,,Grid (excess renewable),
201,H2 Logic HRS with onsite electrolysis Aalborg,ALK,,Grid (excess renewable),
202,Uniper/E-ON WindGas Falkenhagen Hydrogen Pilot Project,ALK,,Dedicated renewable,Onshore wind
203,P2G plant Erdgas Schwaben,PEM,,Other/unknown,
204,"Oslo, CHIC",ALK,,Other/unknown,
205,"HySynergy, phase 1",PEM,,Grid (excess renewable),
207,CO2RRECT-Niederaussem,PEM,,Grid (excess renewable),
211,"Sir Samuel building Griffith Center, Brisbane, Australia",ALK,,Other/unknown,
213,"MicrobEnergy GmbH, Schwandorf",PEM,,Grid (excess renewable),
221,"H2Move, Fraunhofer ISE",PEM,,Dedicated renewable,Solar PV
222,"Hazira, Reliance, back-up hydrogen supply",ALK,,Other/Unknown,
223,El Tubo - ACTA EL500,PEM,,Other/unknown,
225,Refhyne,PEM,,Other/unknown,
227,H&R Ölwerke Hamburg-Neuhof,PEM,,Grid (excess renewable),
235,H2Herten,ALK,,Other/unknown,
236,H2 research center BTU Cottbus,ALK,,Other/unknown,
239,Cotbus,ALK,,Other/unknown,
240,Eucolino Schwandorf,Other Electrolysis,Unknown PtX,Other/unknown,
241,Agios Efstratios,Other Electrolysis,Unknown PtX,Other/unknown,
246,Hydrogen mini grid system Yorkshire (Rotherham),ALK,,Other/unknown,
249,"Fronius Energy Cell, self-sufficient house",PEM,,Other/Unknown,
250,Hitachi Zosen - PTTEP CO2 Conversion to Methane Project R&D),Other Electrolysis,Unknown PtX,Other/unknown,
251,Commercial Plant Svartsengi/George Olah plant,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various
254,"Hamburg Hafen City, CEP",ALK,,Other/unknown,
258,"Hybrid Power Plant Enertrag, Prenzlau",ALK,,Other/unknown,
259,"EnBW H2 station, Stuttgart",ALK,,Other/unknown,
270,Ramea Wind-Hydrogen-Diesel Project,ALK,,Other/unknown,
275,Hydrogen Island Bozcaada,Other Electrolysis,Unknown PtX,Other/unknown,
279,DNV Kema/DNV GL,PEM,,Other/unknown,
282,"HARP System, Bella Coola",ALK,,Other/unknown,
286,H2KT - Hydrogen Energy Storage in Nuuk,ALK,,Other/unknown,
288,ITHER,ALK,,Other/unknown,
