Ref,Project Name,Project Type,Announcement Date,FID Date,Operation Date,Decommission Date,Project Status,Project Phase,Announced capacity (low) (Mt CO2/yr),Announced capacity (high) (Mt CO2/yr),Sector,Fate of Carbon,Part of CCUS Hub
CCUS_1,3D DMX ArcelorMittal and IFPEN Dunkirk (full-scale),Capture,2019-01-01,,2025-01-01,,Planned,1.0,1.0,1.0,Iron and steel,Unknown/unspecified,
CCUS_2,8Rivers H2 (8RH2) (WY),Capture,2022-01-01,,,,Planned,,,,Hydrogen/ammonia,Dedicated storage,
CCUS_3,Abu Dhabi CCS Phase 1: Emirates Steel Industries,Full Chain,2007-01-01,2012-01-01,2016-01-01,,Operational,1.0,0.8,0.8,Iron and steel,Enhanced oil recovery,
CCUS_4,Abu Dhabi CCS Phase 2: Habshan and Bab gas plant,Full Chain,2020-01-01,,2030-01-01,,Planned,2.0,1.9,1.9,Natural gas processing,Enhanced oil recovery,
CCUS_5,Abu Dhabi CCS Phase 2: Shah gas plant,Full Chain,2020-01-01,,2030-01-01,,Planned,2.0,2.3,2.3,Natural gas processing,Enhanced oil recovery,
CCUS_6,Acorn CCS phase 1-Capture at St Fergus,Capture,2016-01-01,2023-01-01,2024-01-01,,Planned,,0.3,0.3,Natural gas processing,Dedicated storage,Acorn CCS
CCUS_7,Acorn CCS phase 1-T&S,Transport & Storage,2016-01-01,2023-01-01,2024-01-01,,Planned,1.0,0.3,0.8,CO2 transport & storage,Dedicated storage,Acorn CCS
CCUS_8,Acorn CCS phase 2,Transport & Storage,2017-01-01,,,,Planned,2.0,5.0,5.0,CO2 transport & storage,Dedicated storage,Acorn CCS
CCUS_9,Acorn H2,Capture,2018-01-01,,2025-01-01,,Planned,,0.4,0.4,Hydrogen/ammonia,Dedicated storage,Acorn CCS
CCUS_10,Adbri Calix new Lime plant Kwinana,Capture,2021-01-01,,,,Planned,,,,Other industry,Dedicated storage,South West Hub Project
CCUS_11,ADM & Wolf Carbon Solutions pipeline (IA),Transport,2022-01-01,,,,Planned,,12.0,12.0,CO2 transport,,ADM & Wolf Carbon Solutions pipeline
CCUS_12,ADM Cedar rapids bioethanol (IA),Capture,2022-01-01,,,,Planned,,,,Biofuels,Dedicated storage,ADM & Wolf Carbon Solutions pipeline
CCUS_13,ADM Clinton bioethanol (IA),Capture,2022-01-01,,,,Planned,,,,Biofuels,Dedicated storage,ADM & Wolf Carbon Solutions pipeline
CCUS_14,Advanced CO2 Capture from Hydrogen Production Unit at Phillips 66 Rodeo Refinery (CA),Capture,2021-01-01,,,,Planned,,,,Other fuel transformation,Unknown/unspecified,
CCUS_15,Aemetis CCS Keyes facility (CA),Full Chain,2021-01-01,,2024-01-01,,Planned,,0.4,0.4,Biofuels,Dedicated storage,Aemetis CCS
CCUS_16,Aemetis CCS Riverbank facility (CA),Full Chain,2021-01-01,,2024-01-01,,Planned,,,,Biofuels,Dedicated storage,Aemetis CCS
CCUS_17,Air Liquide Botlek Rotterdam refinery,Capture,2012-01-01,2023-01-01,2024-01-01,,Planned,,0.5,0.5,Other fuel transformation,Dedicated storage,Porthos
CCUS_18,Air Liquide Total Energies Grandpuits biorefinery,CCU,2022-01-01,,,,Planned,,0.11,0.11,Other fuel transformation,Use,
CCUS_19,AirCapture DACU at Nutrien Kennewick Fertilizer (WA),CCU,2022-01-01,,,,Planned,,,,Direct Air Capture,Use,
CCUS_20,AirCapture Nuclear DAC at JM Farley Nuclear (AL),Capture,2022-01-01,,,,Planned,,,,Direct Air Capture,Dedicated storage,
CCUS_21,Alberta Carbon Grid (ALB) phase 1 (Industrial heartland),Transport & Storage,2021-01-01,,,,Planned,,10.0,10.0,CO2 transport & storage,Dedicated storage,Alberta Carbon Grid (ALB)
CCUS_22,Alberta Carbon Grid (ALB) phase 2,Transport & Storage,2021-01-01,,,,Planned,,10.0,10.0,CO2 transport & storage,Unknown/unspecified,Alberta Carbon Grid (ALB)
CCUS_23,Alberta Carbon Trunk Line (ACTL) (ALB),Transport,2011-01-01,2014-01-01,2020-01-01,,Operational,,14.6,14.6,CO2 transport,,Alberta Carbon Trunk Line (ACTL)
CCUS_24,Altera Stella Maris CCS Project,Transport & Storage,2020-01-01,,,,Planned,,10.0,10.0,CO2 transport & storage,Dedicated storage,Altera Stella Maris CCS/ Havstjerne 
CCUS_25,Aluminium Bahrain MHI capture,Capture,2022-01-01,,,,Planned,,,,Other industry,Unknown/unspecified,
CCUS_26,ANRAV-CCUS (Heidelberg Materials Devnya plant),Full Chain,2022-01-01,,2028-01-01,,Planned,,0.8,0.8,Cement,Dedicated storage,
CCUS_27,Antwerp@C CO2 Export Hub phase 1,Transport,2019-01-01,2023-01-01,2027-01-01,,Planned,1.0,2.5,2.5,CO2 transport,,Antwerp@C
CCUS_28,Antwerp@C CO2 Export Hub phase 2,Transport,2019-01-01,2023-01-01,2030-01-01,,Planned,2.0,7.5,7.5,CO2 transport,,Antwerp@C
CCUS_29,Aramis CCS phase 1,Transport & Storage,2019-01-01,2025-01-01,2027-01-01,,Planned,1.0,5.0,5.0,CO2 transport & storage,Dedicated storage,Aramis CCS
CCUS_30,Aramis CCS phase 2,Transport & Storage,2019-01-01,,,,Planned,2.0,3.0,3.0,CO2 transport & storage,Dedicated storage,Aramis CCS
CCUS_31,Arcelor LanzaTech Carbalyst (Steelanol) Ghent,CCU,2011-01-01,2015-01-01,2022-01-01,,Operational,,0.125,0.125,Iron and steel,Use,
CCUS_32,Arcelor Mittal Air Liquide Low-carbon steel (phase 2?),Capture,2020-01-01,,2030-01-01,,Planned,2.0,1.0,2.85,Iron and steel,Dedicated storage,
CCUS_33,Arkalon CO2 Compression Facility (KS),Full Chain,,,2009-01-01,,Operational,,0.19,0.31,Biofuels,Enhanced oil recovery,
CCUS_34,Arthit offshore gas field CCS,Full Chain,2022-01-01,,2026-01-01,,Planned,,,,Natural gas processing,Dedicated storage,
CCUS_35,Arun CCS (Arun LNG),Full Chain,2022-01-01,,2028-01-01,,Planned,,,,Natural gas processing,Dedicated storage,
CCUS_36,Ascension Clean Energy (ACE) complex (LA),Capture,2022-01-01,2024-01-01,2027-01-01,,Planned,,12.0,12.0,Hydrogen/ammonia,Dedicated storage,Denbury Green Pipeline/Denbury Ascension Parish sequestration
CCUS_37,Athabasca Banks Carbon Hub (ALB),Storage,2022-01-01,,,,Planned,,,,CO2 storage,Dedicated storage,Athabasca Banks Carbon Hub (ALB)
CCUS_38,Athabasca Leismer project (ALB),Capture,2022-01-01,2023-01-01,2024-01-01,,Planned,,0.164,0.164,Other fuel transformation,Unknown/unspecified,
CCUS_39,Atlas Carbon Sequestration Hub Phase 1 (former Polaris Shell hub) (ALB),Transport & Storage,2021-01-01,2023-01-01,2025-01-01,,Planned,1.0,0.75,0.75,CO2 transport & storage,Dedicated storage,Atlas Carbon Sequestration Hub
CCUS_40,Atlas Carbon Sequestration Hub Phase 2 (former Polaris Shell hub) (Alb),Transport & Storage,2021-01-01,,,,Planned,2.0,9.25,9.25,CO2 storage,Dedicated storage,Atlas Carbon Sequestration Hub
CCUS_41,Augusta C2 ,Transport,2022-01-01,,2029-01-01,,Planned,,0.2,0.2,CO2 transport,,Augusta-C2/Prinos CO2 storage
CCUS_42,Aukra Hydrogen Hub,Capture,2021-01-01,2024-01-01,,,Planned,,,,Hydrogen/ammonia,Unknown/unspecified,
CCUS_43,Avedøre and Asnæs Power Station (Ørsted),CCU,2021-01-01,,2025-01-01,,Planned,,0.4,0.4,Power and heat,Use,
CCUS_44,Bacton Thames Net Zero initiative,Storage,2022-01-01,,2027-01-01,,Planned,,6.0,10.0,CO2 storage,Dedicated storage,Bacton Thames Net Zero initiative
CCUS_45,Balikpapan Refinery,Full Chain,2022-01-01,,,,Planned,,,,Other fuel transformation,Unknown/unspecified,
CCUS_46,Barents Blue ammonia project Train 1,Capture,2021-01-01,2023-01-01,2025-01-01,,Planned,1.0,1.84,2.0,Hydrogen/ammonia,Dedicated storage,Polaris offshore storage facility
CCUS_279,HIF USA eFuels Matagorda County (TX),CCU,2021-01-01,2023-01-01,2026-01-01,,Planned,,2.2,2.2,Direct Air Capture,Use,
CCUS_47,Barents Blue ammonia project Train 2,Capture,2021-01-01,,,,Planned,2.0,1.84,2.0,Hydrogen/ammonia,Dedicated storage,Polaris offshore storage facility
