Ref,Operator,Manufacturer,Vehicle,Project,Status,Fleet Size,Vehicle Type,Start Date,End Date,Conversion Technology
FCEV_US_1,Golden Empire Transit (GET),"Ballard Power Systems (fuel cell) 
New Flyer (bus)",New Flyer ,,Planned,5.0,Bus,,,
FCEV_US_2,Lake Transit Authority North State Intercity Bus System,,,CalSTA TIRCP grant,Planned,4.0,Bus,,,
FCEV_US_3,UC Irvine,"Ballard Power Systems (fuel cell) 
ElDorado National (bus)",El Dorado National,NFCBP: AFCB UC Irvine,Active,1.0,Bus,2015-01-01,,Hybrid
FCEV_US_4,Port of Los Angeles,Toyota Motor Corporation,Unknown,Project Portal,Active,1.0,Heavy duty truck,2017-01-01,,Fuel cell
FCEV_US_5,Port of Los Angeles,Toyota Motor Corporation,"UNO UTR 
(Utility Tractor Rig)",Project Portal 2.0,Active,1.0,Utility Tractor Rig (UTR),2019-01-01,,Fuel cell
FCEV_US_6,"Port of Los Angeles:  
Toyota Logistics Services (4), United Parcel Services (3), Total Transportation Services Inc. (2), and Southern Counties Express (1)",Toyota Motor Corporation,Kenworth T680,"Shore to Store
CARB ZANZEFF (Zero and Near Zero Emissions Freight Facilities) grant program",Active,5.0,Heavy duty truck,2021-01-01,,Fuel cell
FCEV_US_8,public (nationwide total),Hyundai Kia Automotive Group,Hyundai NEXO,Commercial Production,Active,1119.0,Passenger vehicle,2019-01-01,,Fuel cell
FCEV_US_9,public (statewide total),Honda,Honda Clarity Fuel Cell (FCV),Commercial Production,Active,2116.0,Passenger vehicle,2016-01-01,,Fuel cell
FCEV_US_10,public (statewide total),Hyundai Kia Automotive Group,Hyundai ix35 Tucson FCEV,Commercial Production,Active,160.0,Passenger vehicle,2015-01-01,2018-01-01,Fuel cell
FCEV_US_11,AC Transit,"Ballard Power Systems (fuel cell) 
New Flyer (bus)",New Flyer 40-foot Xcelsior® XHE40,CARB; FCEBCC,Active,1.0,Bus,2019-01-01,,Hybrid
FCEV_US_12,AC Transit,"Ballard Power Systems (fuel cell) 
New Flyer (bus)",New Flyer 40-foot Xcelsior® CHARGE H2,CARB; FCEBCC,Active,10.0,Bus,2021-01-01,,Hybrid
FCEV_US_13,"AC Transit, ZEBA","UTC Power/U.S. Hybrid (fuel cell)
Van Hool (bus)",Van Hool A330L,NFCBP: Zero Emission Bay Area Fuel Cell Buses Demo,Active,11.0,Bus,2010-01-01,,Fuel cell
FCEV_US_14,Orange County Transportation Authority (OCTA),"Ballard Power Systems (fuel cell) 
New Flyer (bus)",New Flyer New Flyer 40-foot Xcelsior® XHE40,CARB; FCEBCC,Active,10.0,Bus,2020-01-01,,Hybrid
