id,Policy Name,Country,Year,Status,Jurisdiction,Topics,Policy Types,Sectors,Technologies,Description,Total Budget,Total Budget in USD,Governing Body,Target Project,Target Capacity,Beneficiary,Target Year,Period,Emission Goal
1,Green Hydrogen Projects,Oman,2023,Announced,National,Energy Efficiency,Major infrastructure plan,Hydrogen production and supply,Hydrogen electrolysis technologies,"Hydrogen Oman (Hydrom) announced in 2023 the launch of new green hydrogen projects within the Sultanate of Oman with several developers. In March 2023, several commercial agreements were signed between Hydrom and the Ministry of Energy and Minerals of Oman for six green hydrogen projects located near Duqm and Salalah ports. The projects involve:

BP Alternative Energy Investments Limited (for a project in Duqm and another in Dhofar)

Green Energy Oman (GEO)

Green Hydrogen Chemicals SPC (owned by ACME)

Hyport Duqm consortium

SalalaH2 consortium.

These green hydrogen projects are part of a broader strategy for green hydrogen promoted by the Sultanate of Oman who issued the Royal Decree 10/2023 in February 16th defining the scope of green hydrogen projects and allocating land for renewable energy and clean hydrogen projects.",,,,,,,2030,,
2,Hydrogen Technologies Strategy and Roadmap,Turkey,2023,Announced,National,Technology R&D and innovation,Technology roadmaps,,Hydrogen electrolysis technologies,"The Ministry of Energy and Natural resources of the Republic of Türkiye announced in January 2023 its national strategy and roadmap for green hydrogen. The first objective is for green hydrogen to cost $2.40/kg by 2035 and less than $1.20/kg by 2053. To reach carbon neutrality by 2053, the second target of the strategy is to reach 70GW of installed electrolysers capacity by 2053 while reinforcing the country’s capacity on hydrogen production, storage, distribution and usage.",,,Ministry of Energy and Natural resources of the Republic of Türkiye,,"electrolysers: 2GW by 2030, 5GW by 2035, 70GW by 2053 (2030, 2035, 2053)
",,2053,,
3,Hydrogen Interministerial Table,Argentina,2023,In force,National,Renewable Energy,Knowledge networks,Hydrogen production and supply,Hydrogen,"In February 2023, the Government of Argentina created an Intersectoral Hydrogen Table (la Mesa Interministerial del Hidrógeno), as a space for public-private consultation to explore hydrogen opportunities in Argentina. The first meeting of the Intersectoral Hydrogen Table was held in March 2023 with the participation of representatives of the provincial governments in Argentina and the industry.",,,,,,,,,
4,Royal Decree No. 10/2023,Oman,2023,In force,National,Renewable Energy,Framework legislation,Hydrogen production and supply,Hydrogen,"The Royal Decree No. 10/2023 allocates land for renewable energy and clean hydrogen projects. Since February 2023, the Ministry of Energy and Minerals has the full competency to define and implement the scope of green energy activities and clean hydrogen projects to be implemented on site. ",,,Ministry of Energy and Minerals,Renewable energy and clean hydrogen projects,,,,,
5,National Green Hydrogen Mission,India,2023,In force,National,"Technology R&D and innovation, Renewable Energy","Strategic plans, Payments, finance and taxation, Payments and transfers, Targets, plans and framework legislation, Technology roadmaps, Inducement prizes","Power generation, Fuel processing and transformation, Hydrogen production, Hydrogen production and supply, Hydrogen transportation, Hydrogen storage","Combustion-based power generation, Electricity generation and CHP technologies, Hydrogen",The Indian Union cabinet approved in 2023 the National Green Hydrogen Mission with the aim to develop green hydrogen production capacity of at least 5 MMT per annum along with a renewable energy capacity addition of around 125 GW in India resulting in abatement of nearly 50 MMT of annual greenhouse gas emissions by 2030. ,,,,,,,2030,,
6,Green hydrogen production for rail transport,Italy,2023,In force,National,Renewable Energy,"Payments, finance and taxation, Finance, Equity","Transport, Fuel processing and transformation, Rail transport, Hydrogen production and supply","Drive train or engine, Transport technologies, Hydrogen and other alternative fuels","The Italian Ministry of Infrastructure and Transports allocated in 2023 276 million euros for the construction of 10 renewable hydrogen production, storage and supply plants by 2026, and 24 million euros for the acquisition of hydrogen-powered trains.The investment would take place along rail-lines in the regions of Lombardy, Campania, Puglia, and Calabria, and would fund the purchase of new hydrogen-fuelled trains in the region of Puglia.",€300m,377640000.0,Italy's Ministry of Infrastructure and Transport,Replacement of diesel trains with hydrogen ones in six regions across the country,"Renewable hydrogen production, storage, and refueling equipment: €276m (Within project completion by 30 June 2026)
",Train companies in six regions of Italy,2026,From project initiation to June 2026,
7,Carbon Contracts for Difference (CCfD) program for energy-intensive industries,Germany,2023,Announced,National,Renewable Energy,Contracts for difference,Industry,,"The German government announced its decision to provide funding to energy-intensive industries via a ‘carbon contracts for difference’ (CCfD) program. All companies reducing CO2 emissions and converting their production to climate-friendly production will be eligible to benefit from this program and be able to receive grants independently from their production sizes, therefore including small and medium-sized companies.  The aim of this program is to accelerate the phasing-out of fossil fuels in energy-intensive industries and convert their production processes in green production (for instance in production facilities and pipelines for hydrogen). According to the Carbon Contract for Difference concept, energy-intensive industries will be compensated  by climate protection agreements for a period of 15 years to cover for their additional costs (OPEX and CAPEX) to convert their production. These climate protection agreements thus make green technologies more attractive for energy-intensive industries.  A double-digit billion budget is expected to be allocated by the federal government for this scheme.",,,German Federal Department of Economic Affairs and Climate Protection (BMWK),Decarbonisation of the industrial sector,"Carbon emissions
",Energy-intensive industries,,,
8,2023 efficient and electric vehicle adoption incentives,France,2023,In force,National,Electrification,"Payments, finance and taxation, Payments and transfers, Grants","Transport, Road transport, Passenger transport (Road)","Drive train or engine, Battery electric, Transport technologies","The French government continued its support to two consumer subsidy schemes promoting the purchase of electric vehicles, or hydrogen-based vehicles (Bonus écologique) or energy-efficient vehicles (prime à la conversion), allocating extended budget outlays in 2023. In addition, a new leasing scheme enabling low-revenue households to rent an electric car for EUR 100/month is to be implemented from the second semester 2023.",,,,,,,2023,,
148,National budget 2021 - Research on hydrogen,Norway,2021,In force,National,Technology R&D and innovation,"Payments, finance and taxation, Payments and transfers, Grants","Fuel processing and transformation, Hydrogen production and supply","Combustion-based power generation, Electricity generation and CHP technologies, Hydrogen","The government proposed to double the allocation for hydrogen in the country’s revised national budget. 

In the state budget for 2021, NOK 100 million has already been allocated, and another NOK 100 million is proposed. The newly proposed budget will go to the development of infrastructure and hydrogen market, as well as a new research center for environmentally friendly energy (FME). ",NOK 200 million,18769121.04,,,,,,,
9,Power-to-X tender,Denmark,2023,In force,National,Renewable Energy,"Payments, finance and taxation, Payments and transfers, Grants","Power, Heat and Utilities, Hydrogen production and supply","Hydrogen, Hydrogen electrolysis technologies","In March 2022, the Danish government set a goal to install a total of  4-6 GW of electrolysis capacity by 2030 for green hydrogen production through Power-to-X strategy. To reach this goal, a tender of DKK 1.25 billion was launched. The tender is now open from the 19th of April 2023 under the responsibility of the Danish Energy Agency and it is expected to be concluded by the end of 2023. The subsidy is granted over 10 years and it is paid per produced amount of green hydrogen.",DKK 1.25 billion,180745539.2,Danish Energy Agency,Power-to-X projects for green hydrogen production,"Electrolysis capacity: 4-6 GW by 2030 (2030)
",Producers of green hydrogen,2030,10 years,Minimum reduction of 70% in emission intensity
