Ref,Project Name,Date Online,Decomission Date,Status,Status Commissioned,Technology,Technology Detail,Feedstock,Hydrogen Color,Product,MWel,Nm3 H2/h,kt H2/y,t CO2 captured/y,Total Investment,Total Investment in USD
H2_1,Other projects from confidential sources (post-2021),,,Other/Unknown,Unknown,Natural gas reforming with CCUS,Natural gas reforming with CCUS,Natural gas,Blue,,,3847930.0,3000.0,,,
H2_8,Solar PV Plant port of Sines,2030-01-01,,Feasibility study,Pre-Commissioned,Other Electrolysis,Undisclosed electrolysis,Other,Green,Hydrogen,990.0,220000.0,171.521,,EUR 1B,1258800000.0
H2_9,H2GO - 1st phase,2022-01-01,,Under construction,Under Construction,Other Electrolysis,Undisclosed electrolysis,Renewable Energy,Green,Hydrogen,2.0,444.0,0.347,,GBP 4.3MM,4632390.0
H2_10,H2GO - 2nd phase,2030-01-01,,Concept,Pre-Commissioned,Other Electrolysis,Undisclosed electrolysis,Renewable Energy,Green,Hydrogen,23.5,5222.0,4.071,,GBP 4.3MM,4632390.0
H2_11,"NortH2, phase 1",2027-01-01,,Feasibility study,Pre-Commissioned,Other Electrolysis,Undisclosed electrolysis,Offshore wind,Green,Hydrogen,1000.0,222222.0,173.253,,,
H2_12,Norsk e-Fuel Phase 1,2024-01-01,,FID,Pre-Commissioned,Solid oxide electrolysis cells (SOEC),Solid oxide electrolysis cells (SOEC),Renewable Energy,Green,Synthetic liquid fuels,25.1317916,6614.0,5.156,,,
H2_13,Norsk e-Fuel Phase 2,2026-01-01,,Feasibility study,Pre-Commissioned,Solid oxide electrolysis cells (SOEC),Solid oxide electrolysis cells (SOEC),Renewable Energy,Green,Synthetic liquid fuels,25.1317916,6614.0,5.156,,,
H2_14,HYBRIT pilot,2020-01-01,,Operational,Commissioned,Alkaline electrolysis (ALK),Alkaline electrolysis (ALK),Renewable Energy,Green,Hydrogen,4.5,978.0,0.763,,SEK 150MM,13597426.0
H2_15,HYBRIT demo,2025-01-01,,Under construction,Under Construction,Alkaline electrolysis (ALK),Alkaline electrolysis (ALK),Renewable Energy,Green,Hydrogen,500.0,108696.0,84.743,,EUR 143MM,180008400.0
H2_16,Fertiberia/Iberdrola - Puertollano I,2022-01-01,,Operational,Commissioned,Proton exchange membrane electrolysis (PEM),Proton exchange membrane electrolysis (PEM),Solar PV,Green,Ammonia,20.0,4444.0,3.465,,EUR 1.8B,2265840000.0
H2_17,Power to Green H2 Mallorca - Phase 1,2021-01-01,,Operational,Commissioned,Proton exchange membrane electrolysis (PEM),Proton exchange membrane electrolysis (PEM),Solar PV,Green,Hydrogen,2.5,423.0,0.33,,EUR 50MM,62940000.0
H2_18,Power to Green H2 Mallorca (GREEN HYSLAND) - Phase 2,2022-01-01,,Under construction,Under Construction,Other Electrolysis,Undisclosed electrolysis,Solar PV,Green,Hydrogen,7.5,1667.0,1.299,,EUR 50MM,62940000.0
H2_21,Fukushima Hydrogen Energy Research Field,2020-01-01,2023-01-01,Operational,Commissioned,Alkaline electrolysis (ALK),Alkaline electrolysis (ALK),Solar PV,Green,Hydrogen,10.0,1923.0,1.499,,,
H2_22,Hydrospider - St Gallen,2020-01-01,,Operational,Commissioned,Proton exchange membrane electrolysis (PEM),Proton exchange membrane electrolysis (PEM),Hydropower,Green,Hydrogen,2.0,385.0,0.3,,,
H2_23,"Apex Energy, Rostock-Laage",2020-01-01,,Operational,Commissioned,Alkaline electrolysis (ALK),Alkaline electrolysis (ALK),Renewable Energy,Green,Hydrogen,2.0,435.0,0.339,,EUR 199MM,250501200.0
H2_24,Leuchtturmprojekt Power-to-Gas Baden-Württemberg,2020-01-01,,Operational,Commissioned,Proton exchange membrane electrolysis (PEM),Proton exchange membrane electrolysis (PEM),Hydropower,Green,Hydrogen,1.3,250.0,0.195,,EUR 4.5MM,5664600.0
H2_25,eFarm (5 production sites in North Frisia),2020-01-01,,Operational,Commissioned,Proton exchange membrane electrolysis (PEM),Proton exchange membrane electrolysis (PEM),Onshore Wind,Green,Hydrogen,1.125,216.0,0.169,,EUR 21.2MM,26686560.0
H2_26,Hydrogen plant - Orkney Islands - BIG HIT 2n phase,2020-01-01,,Operational,Commissioned,Proton exchange membrane electrolysis (PEM),Proton exchange membrane electrolysis (PEM),Onshore Wind,Green,Hydrogen,1.0,192.0,0.15,,EUR 10.9MM,13720920.0
H2_27,Wyhlen hydroelectric power plant,2020-01-01,,Operational,Commissioned,Alkaline electrolysis (ALK),Alkaline electrolysis (ALK),Hydropower,Green,Hydrogen,1.0,217.0,0.169,,,
H2_28,GrInHy2.0,2020-01-01,,Operational,Commissioned,Solid oxide electrolysis cells (SOEC),Solid oxide electrolysis cells (SOEC),Renewable Energy,Green,Hydrogen,0.72,200.0,0.156,,,
H2_29,Power2Met,2020-01-01,,Operational,Commissioned,Other Electrolysis,Undisclosed electrolysis,Renewable Energy,Green,Methanol,0.25,50.0,0.039,,,
H2_30,REMOTE - Norway,2020-01-01,,Operational,Commissioned,Proton exchange membrane electrolysis (PEM),Proton exchange membrane electrolysis (PEM),Renewable Energy,Green,Hydrogen,0.05,10.0,0.007,,,
H2_31,H2One - Toranomon Hills Business Tower,2020-01-01,,Operational,Commissioned,Proton exchange membrane electrolysis (PEM),Proton exchange membrane electrolysis (PEM),Gird,Yellow,Hydrogen,0.0052,1.0,0.001,,,
H2_32,H2One - Toyama City Environment Center,2020-01-01,,Operational,Commissioned,Proton exchange membrane electrolysis (PEM),Proton exchange membrane electrolysis (PEM),Gird,Yellow,Hydrogen,0.0052,1.0,0.001,,,
H2_33,H2One - Tsuruga City,2020-01-01,,Operational,Commissioned,Proton exchange membrane electrolysis (PEM),Proton exchange membrane electrolysis (PEM),Gird,Yellow,Hydrogen,0.0052,1.0,0.001,,,
H2_34,H2FUTURE,2019-01-01,,Operational,Commissioned,Proton exchange membrane electrolysis (PEM),Proton exchange membrane electrolysis (PEM),Renewable Energy,Green,Hydrogen,6.0,1154.0,0.9,,,
H2_35,Guangdong Synergy Hydrogen Power Technology Co. 1st phase,2019-01-01,,Operational,Commissioned,Proton exchange membrane electrolysis (PEM),Proton exchange membrane electrolysis (PEM),Renewable Energy,Green,Hydrogen,4.0,769.0,0.6,,,
H2_36,"Markham Energy Storage, Ontario",2019-01-01,,Operational,Commissioned,Proton exchange membrane electrolysis (PEM),Proton exchange membrane electrolysis (PEM),Renewable Energy,Green,Hydrogen,2.5,481.0,0.375,,,
H2_37,PFI - Pirmasens-Winzeln,2019-01-01,,Operational,Commissioned,Other Electrolysis,Undisclosed electrolysis,Renewable Energy,Green,Methane,2.5,556.0,0.433,,,
H2_39,MEFCO2,2019-01-01,,Operational,Commissioned,Proton exchange membrane electrolysis (PEM),Proton exchange membrane electrolysis (PEM),Renewable Energy,Green,Methanol,1.0,200.0,0.156,,,
H2_40,"Windgas Haurup, 2nd phase",2021-01-01,,Operational,Commissioned,Proton exchange membrane electrolysis (PEM),Proton exchange membrane electrolysis (PEM),Onshore Wind,Green,Hydrogen,1.0,192.0,0.15,,,
H2_44,SMT-AG Artois-Gohelle,2019-01-01,,Operational,Commissioned,Alkaline electrolysis (ALK),Alkaline electrolysis (ALK),Gird,Yellow,Hydrogen,0.5,109.0,0.085,,,
H2_45,HyDeploy,2019-01-01,,Operational,Commissioned,Proton exchange membrane electrolysis (PEM),Proton exchange membrane electrolysis (PEM),Gird,Yellow,Hydrogen,0.5,96.0,0.075,,GBP 7MM,7541100.0
H2_47,Pau bus station HRS,2019-01-01,,Operational,Commissioned,Proton exchange membrane electrolysis (PEM),Proton exchange membrane electrolysis (PEM),Renewable Energy,Green,Hydrogen,0.5,96.0,0.075,,,
H2_48,"Solothurn, STORE&GO",2019-01-01,,Operational,Commissioned,Proton exchange membrane electrolysis (PEM),Proton exchange membrane electrolysis (PEM),Renewable Energy,Green,Methane,0.35,67.0,0.052,,,
H2_50,Vårgårda Bostäder housing complex,2019-01-01,,Operational,Commissioned,Alkaline electrolysis (ALK),Alkaline electrolysis (ALK),Solar PV,Green,Hydrogen,0.276,60.0,0.047,,,
H2_52,Stromlückenfüller 2nd phase,2019-01-01,,Operational,Commissioned,Proton exchange membrane electrolysis (PEM),Proton exchange membrane electrolysis (PEM),Renewable Energy,Green,Hydrogen,0.2,38.0,0.03,,,
H2_53,ATCO clean energy innovation hub,2019-01-01,,Operational,Commissioned,Proton exchange membrane electrolysis (PEM),Proton exchange membrane electrolysis (PEM),Renewable Energy,Green,Hydrogen,0.15,29.0,0.022,,USD 3.3MM,3300000.0
H2_54,Tauron CO2-SNG,2019-01-01,,Operational,Commissioned,Other Electrolysis,Undisclosed electrolysis,Renewable Energy,Green,Methane,0.081,18.0,0.014,,,
H2_57,Kopernikus,2021-01-01,,DEMO,Under Construction,Solid oxide electrolysis cells (SOEC),Solid oxide electrolysis cells (SOEC),Renewable Energy,Green,Synthetic liquid fuels,0.01,1.0,0.001,,,
H2_58,Rozenburg Power2Gas Phase 2,2019-01-01,,DEMO,Under Construction,Proton exchange membrane electrolysis (PEM),Proton exchange membrane electrolysis (PEM),Other,Green,Hydrogen,0.007,1.0,0.001,,,
H2_60,H2One - SP Group,2019-01-01,,Operational,Commissioned,Proton exchange membrane electrolysis (PEM),Proton exchange membrane electrolysis (PEM),Gird,Yellow,Hydrogen,0.0052,1.0,0.001,,,
H2_61,Falkenhagen STORE&GO,2018-01-01,,Operational,Commissioned,Proton exchange membrane electrolysis (PEM),Proton exchange membrane electrolysis (PEM),Renewable Energy,Green,Methane,1.0,180.0,0.14,,,
H2_64,H2PLAZA - Toyota Industries Corporation’s Takahama,2019-01-01,,Operational,Commissioned,Other Electrolysis,Undisclosed electrolysis,Renewable Energy,Green,Hydrogen,0.045,10.0,0.008,,,
H2_65,Localhy,2019-01-01,,Operational,Commissioned,Other Electrolysis,Undisclosed electrolysis,Renewable Energy,Green,Hydrogen,,,,,,
H2_66,Wind to gas Brunsbüttel,2018-01-01,,Operational,Commissioned,Proton exchange membrane electrolysis (PEM),Proton exchange membrane electrolysis (PEM),Onshore Wind,Green,Hydrogen,2.4,450.0,0.351,,EUR 4.5MM,5664600.0
H2_67,Carbon2Chem,2018-01-01,,Operational,Commissioned,Alkaline electrolysis (ALK),Alkaline electrolysis (ALK),Other,Green,Various,2.0,385.0,0.3,,EUR 60MM,75528000.0
H2_69,HyBALANCE,2018-01-01,,Operational,Commissioned,Proton exchange membrane electrolysis (PEM),Proton exchange membrane electrolysis (PEM),Onshore Wind,Green,Hydrogen,1.2,231.0,0.18,,,
H2_74,Underground Sun Storage,2018-01-01,,Operational,Commissioned,Alkaline electrolysis (ALK),Alkaline electrolysis (ALK),Solar PV,Green,Methane,0.6,130.0,0.102,,,
H2_75,Hydrogen plant - Orkney Islands - BIG HIT 1st phase,2018-01-01,,Operational,Commissioned,Proton exchange membrane electrolysis (PEM),Proton exchange membrane electrolysis (PEM),Onshore Wind,Green,Hydrogen,0.5,96.0,0.075,,EUR 10.9MM,13720920.0
H2_76,"Windgas Haurup, 1st phase",2018-01-01,,Operational,Commissioned,Proton exchange membrane electrolysis (PEM),Proton exchange membrane electrolysis (PEM),Onshore Wind,Green,Hydrogen,0.225,43.0,0.034,,,
H2_77,"Troia, STORE&GO",2018-01-01,,Operational,Commissioned,Proton exchange membrane electrolysis (PEM),Proton exchange membrane electrolysis (PEM),Renewable Energy,Green,Methane,0.2,38.0,0.03,,,
