id,Ref,Project Name,End Use
1,H2_9,H2GO - 1st phase,Mobility
2,H2_10,H2GO - 2nd phase,Mobility
3,H2_11,"NortH2, phase 1",Grid Injection
4,H2_11,"NortH2, phase 1",Refining
5,H2_11,"NortH2, phase 1",Other Industry
6,H2_12,Norsk e-Fuel Phase 1,Synfuels
7,H2_13,Norsk e-Fuel Phase 2,Synfuels
8,H2_14,HYBRIT pilot,Iron&Steel
9,H2_15,HYBRIT demo,Iron&Steel
10,H2_16,Fertiberia/Iberdrola - Puertollano I,Ammonia
11,H2_17,Power to Green H2 Mallorca - Phase 1,Mobility
12,H2_17,Power to Green H2 Mallorca - Phase 1,Grid Injection
13,H2_18,Power to Green H2 Mallorca (GREEN HYSLAND) - Phase 2,Grid Injection
14,H2_18,Power to Green H2 Mallorca (GREEN HYSLAND) - Phase 2,Mobility
15,H2_19,CRI project in Norway,Methanol
16,H2_21,Fukushima Hydrogen Energy Research Field,Mobility
17,H2_21,Fukushima Hydrogen Energy Research Field,Power
18,H2_22,Hydrospider - St Gallen,Mobility
19,H2_23,"Apex Energy, Rostock-Laage",Mobility
20,H2_23,"Apex Energy, Rostock-Laage",Combined Heat & Power (fuel cells or turbines)
21,H2_24,Leuchtturmprojekt Power-to-Gas Baden-Württemberg,Mobility
22,H2_25,eFarm (5 production sites in North Frisia),Mobility
23,H2_26,Hydrogen plant - Orkney Islands - BIG HIT 2n phase,Mobility
24,H2_26,Hydrogen plant - Orkney Islands - BIG HIT 2n phase,Power
25,H2_26,Hydrogen plant - Orkney Islands - BIG HIT 2n phase,Grid Injection
26,H2_27,Wyhlen hydroelectric power plant,Power
27,H2_28,GrInHy2.0,Iron&Steel
28,H2_29,Power2Met,Methanol
29,H2_30,REMOTE - Norway,Power
30,H2_31,H2One - Toranomon Hills Business Tower,Power
31,H2_32,H2One - Toyama City Environment Center,Power
32,H2_33,H2One - Tsuruga City,Mobility
33,H2_34,H2FUTURE,Iron&Steel
34,H2_35,Guangdong Synergy Hydrogen Power Technology Co. 1st phase,Mobility
35,H2_36,"Markham Energy Storage, Ontario",Grid Injection
36,H2_37,PFI - Pirmasens-Winzeln,Methane Grid Injection
37,H2_38,HRS CMB,Mobility
38,H2_39,MEFCO2,Methanol
39,H2_40,"Windgas Haurup, 2nd phase",Power
40,H2_41,Parnu refuelling station,Mobility
