id,Ref,Project Type,Project Name,Investor Name,Parent Investor Name,Investment Amount,Investment Amount in USD,Stake,Share the Pool
19,H2_211,Hydrogen,Waste-to-wheels Charleroi,ENGIE,ENGIE,,,,
20,H2_211,Hydrogen,Waste-to-wheels Charleroi,Tibi,Tibi,,,,
21,H2_211,Hydrogen,Waste-to-wheels Charleroi,SUEZ,SUEZ,,,,
22,H2_211,Hydrogen,Waste-to-wheels Charleroi,S.R.I.W.,S.R.I.W.,,,,
23,H2_891,Hydrogen,3 x 1250 kW projects in USA,National Renewable Energy Laboratory,National Renewable Energy Laboratory,,,,
24,H2_891,Hydrogen,3 x 1250 kW projects in USA,Department of Energy,Department of Energy,,,,
25,H2_891,Hydrogen,3 x 1250 kW projects in USA,Plug Power,Plug Power,,,,
26,H2_891,Hydrogen,3 x 1250 kW projects in USA,Olin Corporation,Olin Corporation,,,,
27,H2_891,Hydrogen,3 x 1250 kW projects in USA,Invenergy,Invenergy,,,,
28,H2_891,Hydrogen,3 x 1250 kW projects in USA,Ohmium International,Ohmium International,,,,
29,H2_891,Hydrogen,3 x 1250 kW projects in USA,Air Products,Air Products,,,,
30,H2_891,Hydrogen,3 x 1250 kW projects in USA,thyssenkrupp nucera,thyssenkrupp nucera,,,,
31,H2_642,Hydrogen,4 projects of ITM in Australia,BOC,BOC & Linde,,,,
32,H2_1155,Hydrogen,Aalborg MeOH project,Aalborg Forsyning,Aalborg Forsyning,,,,
33,H2_1155,Hydrogen,Aalborg MeOH project,Reno,Reno,,,,
34,H2_1155,Hydrogen,Aalborg MeOH project,Copenhagen Infrastructure Partners,Copenhagen Infrastructure Partners,,,,
35,H2_1155,Hydrogen,Aalborg MeOH project,Nordjysk erhvervsfyrtårn,Nordjysk erhvervsfyrtårn,,,,
36,H2_1155,Hydrogen,Aalborg MeOH project,Geely,Geely,,,,
37,H2_610,Hydrogen,Abanto Technology Park,Basque Technology Parks,Basque Technology Parks,EUR 70MM,88116000.0,,
38,H2_610,Hydrogen,Abanto Technology Park,Petronor,Petronor,,,,
39,H2_610,Hydrogen,Abanto Technology Park,Nortegas,Nortegas,,,,
40,H2_610,Hydrogen,Abanto Technology Park,Sener,Sener,,,,
41,H2_910,Hydrogen,ABEL Energy Bell Bay Powerfuels Project,Iberdrola Australia,Iberdrola,,,,
42,H2_910,Hydrogen,ABEL Energy Bell Bay Powerfuels Project,Abel Energy,Abel Energy,,,,
43,H2_528,Hydrogen,"Aberdeen Hydrogen Hub, phase I",BP,BP,,,,
44,H2_528,Hydrogen,"Aberdeen Hydrogen Hub, phase I",Aberdeen City Council,Aberdeen City Council,,,,
45,H2_1033,Hydrogen,"Aberdeen Hydrogen Hub, phase II",BP,BP,,,,
46,H2_1033,Hydrogen,"Aberdeen Hydrogen Hub, phase II",Aberdeen City Council,Aberdeen City Council,,,,
47,H2_249,Hydrogen,"Aberdeen, Hydrogen bus project",Aberdeen City Council,Aberdeen City Council,GBP 2MM,2154600.0,,
48,H2_249,Hydrogen,"Aberdeen, Hydrogen bus project",BOC,BOC & Linde,GBP 1000K,1077300.0,,
49,H2_249,Hydrogen,"Aberdeen, Hydrogen bus project",FirstGroup,FirstGroup,GBP 1000K,1077300.0,,
50,H2_249,Hydrogen,"Aberdeen, Hydrogen bus project",SGN,Scotia Gas Networks (SGN),GBP 200K,215460.0,,
51,H2_249,Hydrogen,"Aberdeen, Hydrogen bus project",Scottish Hydro Electric Power Distribution,Scottish Hydro Electric Power Distribution,GBP 750K,807975.0,,
52,H2_249,Hydrogen,"Aberdeen, Hydrogen bus project",Stagecoach,Stagecoach,GBP 1000K,1077300.0,,
53,H2_249,Hydrogen,"Aberdeen, Hydrogen bus project",Aberdeen City Council,Aberdeen City Council,,,,
54,H2_249,Hydrogen,"Aberdeen, Hydrogen bus project",BP,BP,,,,
55,H2_1175,Hydrogen,ACH-MRP,Aker Horizons,Aker Horizons,,,,
56,H2_1209,Hydrogen,"ACME-Scatec Oman, phase I",Scatec,Scatec,,,,
57,H2_1209,Hydrogen,"ACME-Scatec Oman, phase I",ACME Group,ACME Group,,,,
58,H2_1209,Hydrogen,"ACME-Scatec Oman, phase I",Scatec,Scatec,,,,
59,H2_1209,Hydrogen,"ACME-Scatec Oman, phase I",Yara International,Yara International,,,,
60,H2_1210,Hydrogen,"ACME-Scatec Oman, phase II",Scatec,Scatec,,,,
61,H2_1210,Hydrogen,"ACME-Scatec Oman, phase II",ACME Group,ACME Group,,,,
62,H2_238,Hydrogen,Acorn Aberdeenshire,Harbour Energy,Harbour Energy,,,0.3,
