Ref,Host,Project,Status,Start Date,Site Classification,Application,Number of Units,Fuel Cell Type,Model,Fuel,Single Unit Nominal Power Output (kW),Total Nominal Power at Site (kW)
HFS_US_1,,,active,2021-01-01,,,,SOFC,,,,400.0
HFS_US_2,,,active,2016-01-01,,,,SOFC,,,,200.0
HFS_US_3,,,active,2018-01-01,,,,SOFC,,,,1000.0
HFS_US_4,,,active,2013-01-01,,,,SOFC,,,,750.0
HFS_US_5,,,active,2016-01-01,,,,SOFC,,,,200.0
HFS_US_6,,,active,2016-01-01,,,,SOFC,,,,1250.0
HFS_US_7,,,active,2017-01-01,,,,SOFC,,,,2200.0
HFS_US_8,,,active,2014-01-01,,,,SOFC,,,,200.0
HFS_US_9,,,active,2016-01-01,,,,SOFC,,,,200.0
HFS_US_10,,,active,2017-01-01,,,,SOFC,,,,1400.0
HFS_US_11,,,active,2014-01-01,,,,SOFC,,,,200.0
HFS_US_12,,,active,2016-01-01,,,,SOFC,,,,200.0
HFS_US_13,,,active,2016-01-01,,,,SOFC,,,,200.0
HFS_US_14,,,active,2015-01-01,,,,SOFC,,,,200.0
HFS_US_15,,,active,2014-01-01,,,,SOFC,,,,200.0
HFS_US_16,,,active,2015-01-01,,,,SOFC,,,,200.0
HFS_US_17,,,active,2015-01-01,,,,SOFC,,,,200.0
HFS_US_18,,,active,2014-01-01,,,,SOFC,,,,200.0
HFS_US_19,,,active,2015-01-01,,,,SOFC,,,,200.0
HFS_US_20,,,active,2016-01-01,,,,SOFC,,,,300.0
HFS_US_21,,,active,2018-01-01,,,,SOFC,,,,500.0
HFS_US_22,,,active,2020-01-01,,,,SOFC,,,,300.0
HFS_US_23,,,active,2013-01-01,,,,SOFC,,,,200.0
HFS_US_24,,,active,2016-01-01,,,,SOFC,,,,300.0
HFS_US_25,,,active,2016-01-01,,,,SOFC,,,,200.0
HFS_US_26,,,active,2020-01-01,,,,SOFC,,,,400.0
HFS_US_27,,,active,2016-01-01,,,,SOFC,,,,400.0
HFS_US_28,,,active,2014-01-01,,,,SOFC,,,,200.0
HFS_US_29,Cache Creek Casino Resort,,active,2007-01-01,casino,"• baseload power
• CHP",3.0,MCFC,DFC300,natural gas,300.0,900.0
HFS_US_30,,,active,2021-01-01,,,,SOFC,,,,650.0
HFS_US_31,,,active,2011-01-01,,,,SOFC,,,,500.0
HFS_US_32,,,active,2016-01-01,,,,SOFC,,,,400.0
HFS_US_33,,,active,2016-01-01,,,,SOFC,,,,200.0
HFS_US_34,,,active,2016-01-01,,,,SOFC,,,,200.0
HFS_US_35,,,active,2013-01-01,,,,SOFC,,,,300.0
HFS_US_36,,,active,2017-01-01,,,,SOFC,,,,500.0
HFS_US_37,,,active,2020-01-01,,,,SOFC,,,,1000.0
HFS_US_38,,,active,2017-01-01,,,,SOFC,,,,250.0
HFS_US_39,,,active,2015-01-01,,,,SOFC,,,,200.0
HFS_US_40,,,active,2016-01-01,,,,SOFC,,,,500.0
HFS_US_41,,,active,2021-01-01,,,,SOFC,,,,1700.0
HFS_US_42,,,active,2014-01-01,,,,SOFC,,,,600.0
HFS_US_43,,,active,2015-01-01,,,,SOFC,,,,200.0
HFS_US_44,,,active,2014-01-01,,,,SOFC,,,,200.0
HFS_US_45,,,active,2016-01-01,,,,SOFC,,,,200.0
HFS_US_46,,,active,2016-01-01,,,,SOFC,,,,200.0
HFS_US_47,,,active,2017-01-01,,,,SOFC,,,,450.0
HFS_US_48,,,active,2016-01-01,,,,SOFC,,,,200.0
HFS_US_49,,,active,2016-01-01,,,,SOFC,,,,200.0
HFS_US_50,,,active,2019-01-01,,,,SOFC,,,,375.0
HFS_US_51,,,active,2016-01-01,,,,SOFC,,,,200.0
HFS_US_52,,,active,2013-01-01,,,,SOFC,,,,600.0
HFS_US_53,,,active,2015-01-01,,,,SOFC,,,,200.0
HFS_US_54,,,active,2021-01-01,,,,SOFC,,,,750.0
HFS_US_55,,,active,2016-01-01,,,,SOFC,,,,200.0
HFS_US_56,,,active,2017-01-01,,,,SOFC,,,,500.0
